model,state,WaitTime,Efficacy,SideEffects,P_static,pi_llm,pi_bdt
Qwen2.5-72B,1,0.0,0.3,0.0,0.6077361,0.22,0.5108020750000001
Qwen2.5-72B,2,2.0,0.3,0.0,0.47575702,0.31,0.43431776499999997
Qwen2.5-72B,3,4.0,0.3,0.0,0.3470794,0.53,0.39280955
Qwen2.5-72B,4,6.0,0.3,0.0,0.23744188,0.47000000000000003,0.29558141
Qwen2.5-72B,5,0.0,0.5,0.0,0.67473428,0.525,0.63730071
Qwen2.5-72B,6,2.0,0.5,0.0,0.54855217,0.43,0.5189141275
Qwen2.5-72B,7,4.0,0.5,0.0,0.41580187,0.285,0.38310140249999997
Qwen2.5-72B,8,6.0,0.5,0.0,0.2942388,0.74,0.4056791
Qwen2.5-72B,9,0.0,0.7,0.0,0.73527385,0.45999999999999996,0.6664553875
Qwen2.5-72B,10,2.0,0.7,0.0,0.61932712,0.485,0.58574534
Qwen2.5-72B,11,4.0,0.7,0.0,0.48796214,0.729,0.548221605
Qwen2.5-72B,12,6.0,0.7,0.0,0.35823922,0.49,0.39117941500000003
Qwen2.5-72B,13,0.0,0.9,0.0,0.7880845,0.38,0.6860633749999999
Qwen2.5-72B,14,2.0,0.9,0.0,0.6853705,0.854,0.727527875
Qwen2.5-72B,15,4.0,0.9,0.0,0.56062769,0.889,0.6427207675
Qwen2.5-72B,16,6.0,0.9,0.0,0.42772381,0.559,0.4605428575
Qwen2.5-72B,17,0.0,0.3,1.0,0.58325594,0.32,0.517441955
Qwen2.5-72B,18,2.0,0.3,1.0,0.45048777,0.475,0.45661582749999996
Qwen2.5-72B,19,4.0,0.3,1.0,0.32441531,0.525,0.3745614825
Qwen2.5-72B,20,6.0,0.3,1.0,0.21952991,0.34500000000000003,0.2508974325
Qwen2.5-72B,21,0.0,0.5,1.0,0.65204138,0.25,0.551531035
Qwen2.5-72B,22,2.0,0.5,1.0,0.52327579,0.618,0.5469568425
Qwen2.5-72B,23,4.0,0.5,1.0,0.39133992,0.479,0.41325493999999996
Qwen2.5-72B,24,6.0,0.5,1.0,0.27357939,0.455,0.3189345425
Qwen2.5-72B,25,0.0,0.7,1.0,0.71502072,0.38,0.63126554
Qwen2.5-72B,26,2.0,0.7,1.0,0.59508838,0.5599999999999999,0.586316285
Qwen2.5-72B,27,4.0,0.7,1.0,0.46261669,0.51,0.4744625175
Qwen2.5-72B,28,6.0,0.7,1.0,0.33522054,0.425,0.35766540500000005
Qwen2.5-72B,29,0.0,0.9,1.0,0.77061121,0.53,0.7104584075
Qwen2.5-72B,30,2.0,0.9,1.0,0.66304908,0.795,0.69603681
Qwen2.5-72B,31,4.0,0.9,1.0,0.53545485,0.609,0.5538411375000001
Qwen2.5-72B,32,6.0,0.9,1.0,0.40304437,0.555,0.4410332775
Qwen2.5-72B,33,0.0,0.3,2.0,0.55835826,0.413,0.522018695
Qwen2.5-72B,34,2.0,0.3,2.0,0.4254714,0.505,0.44535355
Qwen2.5-72B,35,4.0,0.3,2.0,0.3025454,0.33,0.30940905
Qwen2.5-72B,36,6.0,0.3,2.0,0.20261015,0.395,0.2507076125
Qwen2.5-72B,37,0.0,0.5,2.0,0.62863663,0.40333,0.5723099725
Qwen2.5-72B,38,2.0,0.5,2.0,0.49787963,0.433,0.48165972250000005
Qwen2.5-72B,39,4.0,0.5,2.0,0.36741201,0.31,0.3530590075
Qwen2.5-72B,40,6.0,0.5,2.0,0.25384881,0.553,0.3286366075
Qwen2.5-72B,41,0.0,0.7,2.0,0.69386325,0.55,0.6578974375
Qwen2.5-72B,42,2.0,0.7,2.0,0.5703769,0.6,0.577782675
Qwen2.5-72B,43,4.0,0.7,2.0,0.43746298,0.445,0.439347235
Qwen2.5-72B,44,6.0,0.7,2.0,0.31295964,0.59,0.38221973
Qwen2.5-72B,45,0.0,0.9,2.0,0.75215029,0.355,0.6528627175
Qwen2.5-72B,46,2.0,0.9,2.0,0.63997593,0.605,0.6312319475
Qwen2.5-72B,47,4.0,0.9,2.0,0.51010006,0.623,0.5383250449999999
Qwen2.5-72B,48,6.0,0.9,2.0,0.37884625,0.61,0.4366346875
Qwen2.5-72B,49,0.0,0.3,3.0,0.53316366,0.125,0.43112274500000003
Qwen2.5-72B,50,2.0,0.3,3.0,0.4008309,0.59,0.448123175
Qwen2.5-72B,51,4.0,0.3,3.0,0.28153542,0.43267,0.31931906499999996
Qwen2.5-72B,52,6.0,0.3,3.0,0.18668253,0.42333,0.2458443975
Qwen2.5-72B,53,0.0,0.5,3.0,0.60461222,0.39,0.5509591650000001
Qwen2.5-72B,54,2.0,0.5,3.0,0.47249439,0.555,0.49312079249999996
Qwen2.5-72B,55,4.0,0.5,3.0,0.34411997,0.413,0.3613399775
Qwen2.5-72B,56,6.0,0.5,3.0,0.2350807,0.57,0.31881052499999996
Qwen2.5-72B,57,0.0,0.7,3.0,0.67185587,0.325,0.5851419025000001
Qwen2.5-72B,58,2.0,0.7,3.0,0.54530961,0.725,0.5902322075
Qwen2.5-72B,59,4.0,0.7,3.0,0.41262678,0.655,0.473220085
Qwen2.5-72B,60,6.0,0.7,3.0,0.29152875,0.595,0.36739656249999997
Qwen2.5-72B,61,0.0,0.9,3.0,0.73271896,0.485,0.67078922
Qwen2.5-72B,62,2.0,0.9,3.0,0.61623727,0.66,0.6271779525
Qwen2.5-72B,63,4.0,0.9,3.0,0.4846932,0.645,0.5247699
Qwen2.5-72B,64,6.0,0.9,3.0,0.3552364,0.72,0.4464273
DeepSeek V4 Pro,1,0.0,0.3,0.0,0.6077361,0.47,0.573302075
DeepSeek V4 Pro,2,2.0,0.3,0.0,0.47575702,0.845,0.5680677649999999
DeepSeek V4 Pro,3,4.0,0.3,0.0,0.3470794,0.86,0.47530954999999997
DeepSeek V4 Pro,4,6.0,0.3,0.0,0.23744188,0.765,0.36933141
DeepSeek V4 Pro,5,0.0,0.5,0.0,0.67473428,0.865,0.7223007100000001
DeepSeek V4 Pro,6,2.0,0.5,0.0,0.54855217,0.825,0.6176641275
DeepSeek V4 Pro,7,4.0,0.5,0.0,0.41580187,0.7949999999999999,0.5106014025
DeepSeek V4 Pro,8,6.0,0.5,0.0,0.2942388,0.79,0.4181791
DeepSeek V4 Pro,9,0.0,0.7,0.0,0.73527385,0.985,0.7977053875
DeepSeek V4 Pro,10,2.0,0.7,0.0,0.61932712,0.9299999999999999,0.69699534
DeepSeek V4 Pro,11,4.0,0.7,0.0,0.48796214,0.895,0.589721605
DeepSeek V4 Pro,12,6.0,0.7,0.0,0.35823922,0.975,0.512429415
DeepSeek V4 Pro,13,0.0,0.9,0.0,0.7880845,0.995,0.839813375
DeepSeek V4 Pro,14,2.0,0.9,0.0,0.6853705,0.995,0.762777875
DeepSeek V4 Pro,15,4.0,0.9,0.0,0.56062769,0.97,0.6629707675000001
DeepSeek V4 Pro,16,6.0,0.9,0.0,0.42772381,0.985,0.5670428574999999
DeepSeek V4 Pro,17,0.0,0.3,1.0,0.58325594,0.585,0.583691955
DeepSeek V4 Pro,18,2.0,0.3,1.0,0.45048777,0.71,0.5153658274999999
DeepSeek V4 Pro,19,4.0,0.3,1.0,0.32441531,0.75,0.4308114825
DeepSeek V4 Pro,20,6.0,0.3,1.0,0.21952991,0.72,0.34464743249999996
DeepSeek V4 Pro,21,0.0,0.5,1.0,0.65204138,0.71,0.666531035
DeepSeek V4 Pro,22,2.0,0.5,1.0,0.52327579,0.675,0.5612068425000001
DeepSeek V4 Pro,23,4.0,0.5,1.0,0.39133992,0.717,0.47275493999999996
DeepSeek V4 Pro,24,6.0,0.5,1.0,0.27357939,0.69,0.37768454249999994
DeepSeek V4 Pro,25,0.0,0.7,1.0,0.71502072,0.6699999999999999,0.70376554
DeepSeek V4 Pro,26,2.0,0.7,1.0,0.59508838,0.57,0.5888162849999999
DeepSeek V4 Pro,27,4.0,0.7,1.0,0.46261669,0.61,0.49946251750000004
DeepSeek V4 Pro,28,6.0,0.7,1.0,0.33522054,0.525,0.382665405
DeepSeek V4 Pro,29,0.0,0.9,1.0,0.77061121,0.85,0.7904584075
DeepSeek V4 Pro,30,2.0,0.9,1.0,0.66304908,0.8,0.69728681
DeepSeek V4 Pro,31,4.0,0.9,1.0,0.53545485,0.715,0.5803411375
DeepSeek V4 Pro,32,6.0,0.9,1.0,0.40304437,0.705,0.47853327749999996
DeepSeek V4 Pro,33,0.0,0.3,2.0,0.55835826,0.62,0.573768695
DeepSeek V4 Pro,34,2.0,0.3,2.0,0.4254714,0.5,0.44410355
DeepSeek V4 Pro,35,4.0,0.3,2.0,0.3025454,0.47,0.34440905
DeepSeek V4 Pro,36,6.0,0.3,2.0,0.20261015,0.7,0.3269576125
DeepSeek V4 Pro,37,0.0,0.5,2.0,0.62863663,0.67,0.6389774725
DeepSeek V4 Pro,38,2.0,0.5,2.0,0.49787963,0.64,0.5334097225000001
DeepSeek V4 Pro,39,4.0,0.5,2.0,0.36741201,0.6799999999999999,0.4455590075
DeepSeek V4 Pro,40,6.0,0.5,2.0,0.25384881,0.605,0.34163660749999997
DeepSeek V4 Pro,41,0.0,0.7,2.0,0.69386325,0.66,0.6853974375
DeepSeek V4 Pro,42,2.0,0.7,2.0,0.5703769,0.52,0.557782675
DeepSeek V4 Pro,43,4.0,0.7,2.0,0.43746298,0.595,0.476847235
DeepSeek V4 Pro,44,6.0,0.7,2.0,0.31295964,0.67,0.40221973
DeepSeek V4 Pro,45,0.0,0.9,2.0,0.75215029,0.785,0.7603627175000001
DeepSeek V4 Pro,46,2.0,0.9,2.0,0.63997593,0.65,0.6424819475
DeepSeek V4 Pro,47,4.0,0.9,2.0,0.51010006,0.65,0.5450750449999999
DeepSeek V4 Pro,48,6.0,0.9,2.0,0.37884625,0.65,0.4466346875
DeepSeek V4 Pro,49,0.0,0.3,3.0,0.53316366,0.6699999999999999,0.567372745
DeepSeek V4 Pro,50,2.0,0.3,3.0,0.4008309,0.595,0.449373175
DeepSeek V4 Pro,51,4.0,0.3,3.0,0.28153542,0.62,0.366151565
DeepSeek V4 Pro,52,6.0,0.3,3.0,0.18668253,0.6799999999999999,0.3100118975
DeepSeek V4 Pro,53,0.0,0.5,3.0,0.60461222,0.64,0.6134591650000001
DeepSeek V4 Pro,54,2.0,0.5,3.0,0.47249439,0.61,0.5068707925
DeepSeek V4 Pro,55,4.0,0.5,3.0,0.34411997,0.58,0.4030899775
DeepSeek V4 Pro,56,6.0,0.5,3.0,0.2350807,0.6,0.326310525
DeepSeek V4 Pro,57,0.0,0.7,3.0,0.67185587,0.64,0.6638919025000001
DeepSeek V4 Pro,58,2.0,0.7,3.0,0.54530961,0.68,0.5789822075000001
DeepSeek V4 Pro,59,4.0,0.7,3.0,0.41262678,0.53,0.441970085
DeepSeek V4 Pro,60,6.0,0.7,3.0,0.29152875,0.6,0.3686465625
DeepSeek V4 Pro,61,0.0,0.9,3.0,0.73271896,0.785,0.74578922
DeepSeek V4 Pro,62,2.0,0.9,3.0,0.61623727,0.61,0.6146779524999999
DeepSeek V4 Pro,63,4.0,0.9,3.0,0.4846932,0.74,0.5485199000000001
DeepSeek V4 Pro,64,6.0,0.9,3.0,0.3552364,0.53,0.39892730000000004
MiroThinker-1.7-mini,1,0.0,0.3,0.0,0.6077361,0.0,0.45580207500000003
MiroThinker-1.7-mini,2,2.0,0.3,0.0,0.47575702,0.0,0.35681776499999995
MiroThinker-1.7-mini,3,4.0,0.3,0.0,0.3470794,0.0,0.26030955
MiroThinker-1.7-mini,4,6.0,0.3,0.0,0.23744188,0.0,0.17808141
MiroThinker-1.7-mini,5,0.0,0.5,0.0,0.67473428,0.5,0.63105071
MiroThinker-1.7-mini,6,2.0,0.5,0.0,0.54855217,0.0,0.4114141275
MiroThinker-1.7-mini,7,4.0,0.5,0.0,0.41580187,0.0,0.3118514025
MiroThinker-1.7-mini,8,6.0,0.5,0.0,0.2942388,0.0,0.22067910000000002
MiroThinker-1.7-mini,9,0.0,0.7,0.0,0.73527385,0.7,0.7264553874999999
MiroThinker-1.7-mini,10,2.0,0.7,0.0,0.61932712,0.7,0.6394953400000001
MiroThinker-1.7-mini,11,4.0,0.7,0.0,0.48796214,0.7,0.540971605
MiroThinker-1.7-mini,12,6.0,0.7,0.0,0.35823922,0.7,0.443679415
MiroThinker-1.7-mini,13,0.0,0.9,0.0,0.7880845,0.9,0.8160633749999999
MiroThinker-1.7-mini,14,2.0,0.9,0.0,0.6853705,0.9,0.739027875
MiroThinker-1.7-mini,15,4.0,0.9,0.0,0.56062769,0.9,0.6454707675
MiroThinker-1.7-mini,16,6.0,0.9,0.0,0.42772381,0.9,0.5457928575
MiroThinker-1.7-mini,17,0.0,0.3,1.0,0.58325594,0.0,0.43744195500000005
MiroThinker-1.7-mini,18,2.0,0.3,1.0,0.45048777,0.3,0.4128658275
MiroThinker-1.7-mini,19,4.0,0.3,1.0,0.32441531,0.3,0.3183114825
MiroThinker-1.7-mini,20,6.0,0.3,1.0,0.21952991,0.3,0.23964743249999998
MiroThinker-1.7-mini,21,0.0,0.5,1.0,0.65204138,0.0,0.489031035
MiroThinker-1.7-mini,22,2.0,0.5,1.0,0.52327579,0.3,0.4674568425
MiroThinker-1.7-mini,23,4.0,0.5,1.0,0.39133992,0.3,0.36850494
MiroThinker-1.7-mini,24,6.0,0.5,1.0,0.27357939,0.3,0.28018454249999997
MiroThinker-1.7-mini,25,0.0,0.7,1.0,0.71502072,0.7,0.7112655400000001
MiroThinker-1.7-mini,26,2.0,0.7,1.0,0.59508838,0.3,0.5213162849999999
MiroThinker-1.7-mini,27,4.0,0.7,1.0,0.46261669,0.3,0.4219625175
MiroThinker-1.7-mini,28,6.0,0.7,1.0,0.33522054,0.3,0.32641540500000005
MiroThinker-1.7-mini,29,0.0,0.9,1.0,0.77061121,0.9,0.8029584074999999
MiroThinker-1.7-mini,30,2.0,0.9,1.0,0.66304908,0.85,0.70978681
MiroThinker-1.7-mini,31,4.0,0.9,1.0,0.53545485,0.75,0.5890911375000001
MiroThinker-1.7-mini,32,6.0,0.9,1.0,0.40304437,0.3,0.3772832775
MiroThinker-1.7-mini,33,0.0,0.3,2.0,0.55835826,0.2,0.468768695
MiroThinker-1.7-mini,34,2.0,0.3,2.0,0.4254714,0.3,0.39410355
MiroThinker-1.7-mini,35,4.0,0.3,2.0,0.3025454,0.3,0.30190905
MiroThinker-1.7-mini,36,6.0,0.3,2.0,0.20261015,0.3,0.22695761250000002
MiroThinker-1.7-mini,37,0.0,0.5,2.0,0.62863663,0.4,0.5714774725
MiroThinker-1.7-mini,38,2.0,0.5,2.0,0.49787963,0.3,0.44840972250000005
MiroThinker-1.7-mini,39,4.0,0.5,2.0,0.36741201,0.3,0.3505590075
MiroThinker-1.7-mini,40,6.0,0.5,2.0,0.25384881,0.3,0.2653866075
MiroThinker-1.7-mini,41,0.0,0.7,2.0,0.69386325,0.7,0.6953974375
MiroThinker-1.7-mini,42,2.0,0.7,2.0,0.5703769,0.3,0.502782675
MiroThinker-1.7-mini,43,4.0,0.7,2.0,0.43746298,0.3,0.403097235
MiroThinker-1.7-mini,44,6.0,0.7,2.0,0.31295964,0.3,0.30971972999999997
MiroThinker-1.7-mini,45,0.0,0.9,2.0,0.75215029,0.9,0.7891127175
MiroThinker-1.7-mini,46,2.0,0.9,2.0,0.63997593,0.85,0.6924819475
MiroThinker-1.7-mini,47,4.0,0.9,2.0,0.51010006,0.85,0.595075045
MiroThinker-1.7-mini,48,6.0,0.9,2.0,0.37884625,0.85,0.49663468749999995
MiroThinker-1.7-mini,49,0.0,0.3,3.0,0.53316366,0.3,0.47487274500000004
MiroThinker-1.7-mini,50,2.0,0.3,3.0,0.4008309,0.3,0.37562317500000003
MiroThinker-1.7-mini,51,4.0,0.3,3.0,0.28153542,0.3,0.286151565
MiroThinker-1.7-mini,52,6.0,0.3,3.0,0.18668253,0.3,0.2150118975
MiroThinker-1.7-mini,53,0.0,0.5,3.0,0.60461222,0.3,0.528459165
MiroThinker-1.7-mini,54,2.0,0.5,3.0,0.47249439,0.3,0.4293707925
MiroThinker-1.7-mini,55,4.0,0.5,3.0,0.34411997,0.3,0.3330899775
MiroThinker-1.7-mini,56,6.0,0.5,3.0,0.2350807,0.3,0.251310525
MiroThinker-1.7-mini,57,0.0,0.7,3.0,0.67185587,0.7,0.6788919025
MiroThinker-1.7-mini,58,2.0,0.7,3.0,0.54530961,0.7,0.5839822075000001
MiroThinker-1.7-mini,59,4.0,0.7,3.0,0.41262678,0.3,0.384470085
MiroThinker-1.7-mini,60,6.0,0.7,3.0,0.29152875,0.4,0.3186465625
MiroThinker-1.7-mini,61,0.0,0.9,3.0,0.73271896,0.9,0.77453922
MiroThinker-1.7-mini,62,2.0,0.9,3.0,0.61623727,0.75,0.6496779524999999
MiroThinker-1.7-mini,63,4.0,0.9,3.0,0.4846932,0.75,0.5510199
MiroThinker-1.7-mini,64,6.0,0.9,3.0,0.3552364,0.75,0.45392730000000003
